release_path,source_path,source_sha256,release_sha256,change_note
"data/policy_comparison/mlp/summary.json","evidence/experiments/eval_prone_px_mlp_20260823-053232_seed42/summary.json","f1281f6099e000596c27fe79f2fe4dc345c71b969febd9ecd16293745f999a7c","220b454cafc6290bbd0cc408bfe83f0e232b016bd0636bd7ddd065419162dd01","line endings normalized to LF; values unchanged"
"data/policy_comparison/mlp/episode_metrics.csv","evidence/experiments/eval_prone_px_mlp_20260823-053232_seed42/episode_metrics.csv","6473b21657a195a2eebe760bb8718379dd42937210402fafeb887e0b30f92be8","3279b7b1ca6b8d15d7903203357889b6beac05b3a7b51db0cc16fc6389d75fb6","line endings normalized to LF; values unchanged"
"data/policy_comparison/gru/summary.json","evidence/experiments/eval_prone_px_gru_20260823-091219_seed42/summary.json","b633cef57e83cdc4da2f52439b49ff026d43cd653df6c7d4699035fcece93a57","8c11b644a9ffd09c904f567dbbfab3fc7cad59b836d38c8ae567b1b3e0bf5e5b","line endings normalized to LF; values unchanged"
"data/policy_comparison/gru/episode_metrics.csv","evidence/experiments/eval_prone_px_gru_20260823-091219_seed42/episode_metrics.csv","3a1c502a18bc03acab379c795970be3937d6c4891e1120d98c8c67bce2c554aa","4d3d02eb57e1aabc38f74f88cac8c3b4fafded32f109425aab8e6e5e18ddf9cb","line endings normalized to LF; values unchanged"
"models/prone_comparison/mlp_training_manifest.json","simulation/output/policies/prone_px_v4/manifest.json","4a5b7dc7f341193e143aa9d1f0d84897687849a0b85704467c9766094a30cedc","d326957b2272e77b5a5f70e5406ba01bb3e197dade0f19811920077d38bd532d","config.scene replaced with external asset marker; text LF"
"models/prone_comparison/gru_training_manifest.json","simulation/output/policies/prone_px_v4_gru/manifest.json","6e10191854b1d4e63312e3872af775bb8a9221d450f7b8a674aeabf32b20e24a","8a80a7e40cd9e4fb547ccc1d8f55592ab8a8c1602c43feab9c31398f3a80299b","config.scene replaced with external asset marker; text LF"
"simulation/src/reconstruct_metrics.py","simulation/src/reconstruct_metrics.py","e5805daffcd3f45a021c7fff16b3e8645e64006b4f8800c34255b0fa15edd106","e5805daffcd3f45a021c7fff16b3e8645e64006b4f8800c34255b0fa15edd106","exact copy"
"data/policy_comparison/manuscript_distance_table.csv","outputs/researchwrite/go2-monocular-handshake-pilot/figures/source_data_policy_distance.csv","0dfccedc2e6abcfdf96cca3fcd81f950d7854fc7230fdb20848711f07d63bf32","0dfccedc2e6abcfdf96cca3fcd81f950d7854fc7230fdb20848711f07d63bf32","exact copy"
"data/policy_comparison/mlp/step_metrics.csv.gz","evidence/experiments/eval_prone_px_mlp_20260823-053232_seed42/step_metrics.csv.gz","ba0a95232a6981cd2b4a8b2ead660b0bfeba04dcc0fa2975668a62d16b2890cf","ba0a95232a6981cd2b4a8b2ead660b0bfeba04dcc0fa2975668a62d16b2890cf","exact copy"
"data/policy_comparison/gru/step_metrics.csv.gz","evidence/experiments/eval_prone_px_gru_20260823-091219_seed42/step_metrics.csv.gz","1e46da27ac90e9b6a58817c609c93c92bd252150d8414aad654773d32ccf0559","1e46da27ac90e9b6a58817c609c93c92bd252150d8414aad654773d32ccf0559","exact copy"
"models/prone_comparison/best_mlp_prone_px.pt","simulation/output/policies/prone_px_v4/best_mlp_prone_px.pt","899319bd00b3afb02406b56ad5eb3e491f35ed864258bb9d3fa9cb77e00bf494","899319bd00b3afb02406b56ad5eb3e491f35ed864258bb9d3fa9cb77e00bf494","exact copy"
"models/prone_comparison/best_gru_prone_px.pt","simulation/output/policies/prone_px_v4_gru/best_gru_prone_px.pt","833fd1a2ec85c90374fbcbde06fa8f0b6ebf072e70f8356ec4e840596621b54a","833fd1a2ec85c90374fbcbde06fa8f0b6ebf072e70f8356ec4e840596621b54a","exact copy"
